,2,3,4,5,6,7,8,9,10,A
As,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
10s,N,N,N,N,N,N,N,N,N,N
9s,Y,Y,Y,Y,Y,N,Y,Y,N,N
8s,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
7s,Y,Y,Y,Y,Y,Y,N,N,N,N
6s,Y,Y,Y,Y,Y,N,N,N,N,N
5s,N,N,N,N,N,N,N,N,N,N
4s,N,N,N,Y,Y,N,N,N,N,N
3s,Y,Y,Y,Y,Y,Y,N,N,N,N
2s,Y,Y,Y,Y,Y,Y,N,N,N,N
A10,S,S,S,S,D,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
A8,S,S,S,S,D,S,S,S,S,S
A7,D,D,D,D,D,S,S,H,H,H
A6,H,D,D,D,D,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A3,H,H,H,D,D,H,H,H,H,H
A2,H,H,H,D,D,H,H,H,H,H
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,H,H,Sr,Sr,H
15,S,S,S,S,S,H,H,H,Sr,H
14,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,H
10,D,D,D,D,D,D,D,D,H,H
9,H,D,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H